indegrees                                	yes
Name                                     	LowerBound 	UpperBound 	InitialValue 	FinalValue
/jointset/groundPelvis/pelvis_tilt/value 	0           	50          	43.426        	0
/jointset/groundPelvis/pelvis_tx/value   	0           	1.0         	0.05          	
/jointset/groundPelvis/pelvis_ty/value   	0         	1.0         	0.572         	    
/jointset/hip_l/hip_flexion_l/value      	-30         	160          	48.858        	0
/jointset/hip_r/hip_flexion_r/value      	-30         	160          	48.858        	0
/jointset/knee_l/knee_angle_l/value      	-240        	10           	-112.113      	0
/jointset/knee_r/knee_angle_r/value      	-240        	10           	-112.113      	0
/jointset/ankle_l/ankle_angle_l/value    	0           	70          	19.827        	0
/jointset/ankle_r/ankle_angle_r/value    	0           	70          	19.827        	0
/jointset/lumbar/lumbar/value            	-140         	0          	-53.183       	0
/jointset/groundPelvis/pelvis_tilt/speed 	-1500       	1500        	0       	0             	
/jointset/groundPelvis/pelvis_tx/speed   	-5          	5           	0        	0            	
/jointset/groundPelvis/pelvis_ty/speed   	-2          	10          	0        	0            	
/jointset/hip_l/hip_flexion_l/speed      	-2500       	1500        	0       	0             	
/jointset/hip_r/hip_flexion_r/speed      	-2500       	1500        	0       	0             	
/jointset/knee_l/knee_angle_l/speed      	-500        	3000        	0       	0             	
/jointset/knee_r/knee_angle_r/speed      	-500        	3000        	0       	0             	
/jointset/ankle_l/ankle_angle_l/speed    	-1200       	800         	0       	0             	
/jointset/ankle_r/ankle_angle_r/speed    	-1200       	800         	0       	0             	
/jointset/lumbar/lumbar/speed            	-1000       	2000           	0       	0             	
